no,first_name,last_name,yr,pos,g,ab,r,h,x2b,x3b,hr,rbi,bb,k,sb,cs,avg,obp,slg,hbp,sf,sh,tb,xbh,hdp,go,fo,go_fo,pa,team_name,division
16,Latesha,Aldrich,Sophomore,C/IF,34,83,7,20,3,0,1,9,7,17,0,0,0.241,0.3,0.313,0,0,0,26,4,0,0,0,0,90,Sauk Valley,2
17,Madelynn,Jones,Freshman,P/IF,12,22,2,6,0,0,1,3,0,8,0,0,0.273,0.273,0.409,0,0,0,9,1,0,0,0,0,22,Sauk Valley,2
2,Jasmine,Badon,Freshman,IF,12,25,1,4,0,0,0,0,6,10,0,0,0.16,0.323,0.16,0,0,0,4,0,0,0,0,0,31,Sauk Valley,2
22,Rileigh,Kinison,Sophomore,P/IF,33,86,12,26,4,0,0,10,5,7,2,0,0.302,0.348,0.349,1,0,0,30,4,0,0,0,0,92,Sauk Valley,2
25,Tyra,Sayler,Freshman,P/IF,36,111,21,39,11,0,2,14,4,7,0,0,0.351,0.374,0.505,0,0,0,56,13,0,0,0,0,115,Sauk Valley,2
3,Arianne,Smith,Freshman,C/OF,19,50,9,11,5,0,0,9,6,9,1,0,0.22,0.304,0.32,0,0,0,16,5,0,0,0,0,56,Sauk Valley,2
4,Hannah,Jacoby,Sophomore,IF,32,101,19,44,4,0,0,5,7,7,6,0,0.436,0.482,0.475,2,0,0,48,4,0,0,0,0,110,Sauk Valley,2
5,Braelyn,Velez,Freshman,OF,6,14,0,1,0,0,0,0,0,6,0,0,0.071,0.071,0.071,0,0,0,1,0,0,0,0,0,14,Sauk Valley,2
8,McKenzie,Hecht,Freshman,IF,32,89,13,35,4,3,4,23,8,18,2,0,0.393,0.443,0.64,0,0,0,57,11,0,0,0,0,97,Sauk Valley,2
1,Amanda,Blevins,Freshman,"OF, 1B",45,108,30,43,8,2,8,31,8,18,4,0,0.398,0.484,0.731,10,0,3,79,18,0,16,21,0.76,129,South Suburban,2
11,MaCayla,Boone,Sophomore,"P, 1B",27,26,0,8,1,0,0,4,1,3,0,2,0.308,0.321,0.346,0,1,0,9,1,0,6,6,1,28,South Suburban,2
13,Meagan,Bruns,Freshman,"C, OF",46,86,20,29,5,0,2,21,3,3,5,0,0.337,0.356,0.465,0,1,2,40,7,1,21,22,0.95,92,South Suburban,2
16,Trina,Pappas,Sophomore,"OF, UT",49,125,37,37,16,2,4,35,15,27,10,0,0.296,0.371,0.552,1,2,2,69,22,0,12,38,0.32,145,South Suburban,2
18,Skyler,Katschke,Freshman,"P, 1B",35,8,1,0,0,0,0,0,1,4,0,0,0,0.111,0,0,0,0,0,0,0,1,2,0.5,9,South Suburban,2
2,Hannah,Pierson,Freshman,"SS, UT",46,119,35,49,14,2,7,38,9,14,7,0,0.412,0.466,0.739,3,0,3,88,23,0,21,32,0.66,134,South Suburban,2
21,Ashley,Shepard,Freshman,"SS,C",50,146,41,49,8,3,3,33,11,15,10,2,0.336,0.382,0.493,0,0,8,72,14,1,40,18,2.22,165,South Suburban,2
23,Breeana,Graham,Freshman,"1B, UT",27,37,8,13,5,1,0,9,1,10,0,0,0.351,0.415,0.541,3,0,1,20,6,0,7,2,3.5,42,South Suburban,2
24,Taylor,West,Freshman,OF,31,61,11,21,5,0,3,15,6,13,2,0,0.344,0.403,0.574,0,0,0,35,8,0,9,9,1,67,South Suburban,2
27,Jocelyn,Rodriguez,Freshman,"P, Mid",43,86,24,27,8,1,4,24,9,12,4,1,0.314,0.375,0.57,0,1,0,49,13,0,18,14,1.29,96,South Suburban,2
3,Shawnna,Goosby,Freshman,"Mid, OF",44,106,29,37,5,4,0,16,8,5,10,1,0.349,0.395,0.472,2,3,0,50,9,0,23,26,0.88,119,South Suburban,2
4,Aliacel,Martinez,Sophomore,Mid,48,120,40,44,5,7,5,30,17,23,19,0,0.367,0.454,0.65,3,1,2,78,17,0,17,25,0.68,143,South Suburban,2
5,Victoria,Alfaro,Sophomore,Mid,48,151,64,67,15,2,17,55,17,11,9,1,0.444,0.497,0.907,3,4,0,137,34,1,16,39,0.41,175,South Suburban,2
6,Diana,Martin,Freshman,"c, Ut",48,145,55,64,8,3,1,21,19,17,38,6,0.441,0.506,0.559,0,0,5,81,12,0,40,16,2.5,169,South Suburban,2
7,Genasis,Vanderlaan,Freshman,"P, 2B",32,11,3,3,0,0,0,1,1,4,0,1,0.273,0.333,0.273,0,0,1,3,0,0,2,0,0,13,South Suburban,2
8,Abbey,Grafenauer,Freshman,"P, 1B",24,8,2,1,0,0,0,0,3,3,0,0,0.125,0.364,0.125,0,0,0,1,0,0,1,0,0,11,South Suburban,2
99,Claire,Schneider,Freshman,"P, UT",31,39,7,10,2,0,0,6,2,8,2,0,0.256,0.293,0.308,0,0,0,12,2,0,8,10,0.8,41,South Suburban,2
0,Madisen,McBride,Sophomore,,9,8,2,2,0,0,0,1,1,2,3,1,0.25,0.333,0.25,0,0,0,2,0,0,0,0,0,9,Triton,2
1,Angelina,Juarez,Freshman,,9,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Triton,2
10,Melissa,Gonzalez,Sophomore,C / OF,58,147,50,58,14,2,12,55,20,15,34,0,0.395,0.476,0.762,3,0,1,112,28,0,0,0,0,171,Triton,2
12,Lauren,Carlson,Sophomore,OF,20,28,3,7,1,0,0,3,3,7,7,0,0.25,0.323,0.286,0,0,0,8,1,0,0,0,0,31,Triton,2
13,Chayton,Krueger,Sophomore,,46,121,38,34,9,3,4,31,10,17,21,0,0.281,0.336,0.504,0,0,0,61,16,0,0,0,0,131,Triton,2
14,McKenzie,Johnson,Freshman,RHP,49,110,20,37,6,0,1,23,5,13,7,0,0.336,0.365,0.418,0,0,0,46,7,0,0,0,0,115,Triton,2
15,Hannah,Kofira,Freshman,,14,14,4,7,4,1,0,5,2,3,5,0,0.5,0.563,0.929,0,0,0,13,5,0,0,0,0,16,Triton,2
16,Alyssa,Maier,Freshman,,3,2,1,1,0,0,0,0,1,0,0,0,0.5,0.667,0.5,0,0,0,1,0,0,0,0,0,3,Triton,2
17,Renee,Aztlan,Freshman,C,22,15,3,3,1,0,0,2,0,4,1,0,0.2,0.2,0.267,0,0,0,4,1,0,0,0,0,15,Triton,2
19,Isa,Bruno,Freshman,,47,108,26,31,8,0,7,22,11,16,0,0,0.287,0.353,0.556,0,0,1,60,15,0,0,0,0,120,Triton,2
2,Nichole,Burke,Freshman,OF,61,204,79,83,7,0,1,22,11,14,67,0,0.407,0.437,0.456,0,0,0,93,8,0,0,0,0,215,Triton,2
20,Breanne,Deutscher,Sophomore,,59,147,31,38,11,3,3,32,15,17,16,0,0.259,0.335,0.435,2,0,0,64,17,0,0,0,0,164,Triton,2
21,Briana,Rivera,Sophomore,,17,21,4,7,3,0,0,8,2,4,1,0,0.333,0.391,0.476,0,0,0,10,3,0,0,0,0,23,Triton,2
22,Daniella,Trentadue,Freshman,,15,11,2,2,1,0,0,0,0,4,1,0,0.182,0.182,0.273,0,0,0,3,1,0,0,0,0,11,Triton,2
23,Jocelyn,Foss,Freshman,,12,6,1,2,1,0,0,1,2,1,1,0,0.333,0.5,0.5,0,0,0,3,1,0,0,0,0,8,Triton,2
24,Gabriela,Gonzalez,Freshman,,38,61,12,17,4,0,2,14,9,16,4,0,0.279,0.371,0.443,0,0,0,27,6,0,0,0,0,70,Triton,2
25,Meadow,Fornuto,Freshman,,17,34,8,13,0,0,0,6,2,3,0,0,0.382,0.417,0.382,0,0,0,13,0,0,0,0,0,36,Triton,2
27,Sophia,Loza,Freshman,,27,56,17,15,1,0,2,10,8,6,11,0,0.268,0.359,0.393,0,0,0,22,3,0,0,0,0,64,Triton,2
3,Julianna,Acevedo,Sophomore,,60,181,54,82,20,2,8,78,12,10,30,2,0.453,0.49,0.718,1,0,0,130,30,0,0,0,0,194,Triton,2
30,Angelina,Flores,Freshman,,43,83,12,18,6,0,3,15,10,21,1,0,0.217,0.316,0.398,2,0,0,33,9,0,0,0,0,95,Triton,2
31,Jeri,Bradford,Freshman,RHP,6,3,1,1,1,0,1,0,1,1,0,0,0.333,0.5,1.667,0,0,0,5,2,0,0,0,0,4,Triton,2
4,Jessica,Reuter,Freshman,,39,80,22,21,7,0,1,10,2,17,8,0,0.263,0.28,0.388,0,0,0,31,8,0,0,0,0,82,Triton,2
6,Ashley,Mendelson,Freshman,,6,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Triton,2
9,Tiffany,Lepic,Freshman,,53,120,27,30,5,3,2,27,17,24,9,0,0.25,0.343,0.392,0,0,0,47,10,0,0,0,0,137,Triton,2
10,Kylee,King,Freshman,1B,5,4,1,1,0,0,0,0,0,1,1,0,0.25,0.25,0.25,0,0,0,1,0,0,0,0,0,4,Waubonsee,2
12,Katie,Baker,Freshman,LF/2B,51,181,45,66,12,2,1,41,7,4,19,2,0.365,0.392,0.47,1,0,6,85,15,0,3,1,3,195,Waubonsee,2
13,Taylor,Warren,Sophomore,RHP,36,108,17,35,13,0,0,21,4,15,3,0,0.324,0.37,0.444,5,2,0,48,13,0,0,1,0,119,Waubonsee,2
15,Isabella,Rominski,Freshman,OF,4,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,Waubonsee,2
19,Valerie,Osthoff,Freshman,INF,27,57,16,18,2,0,0,13,2,10,2,1,0.316,0.339,0.351,0,0,0,20,2,0,1,1,1,59,Waubonsee,2
2,Sarah,Sandusky,Sophomore,OF,51,128,33,31,8,2,1,25,23,25,11,2,0.242,0.372,0.359,4,1,0,46,11,1,0,2,0,156,Waubonsee,2
25,Taylor,Hamaker,Freshman,OF,49,135,40,46,5,0,4,27,10,18,18,3,0.341,0.403,0.467,4,0,1,63,9,0,2,0,0,150,Waubonsee,2
27,Nadia,Melendez,Freshman,C,28,62,8,14,2,1,0,11,3,12,1,1,0.226,0.258,0.29,0,1,0,18,3,1,0,2,0,66,Waubonsee,2
28,Felicity,Allgood,Freshman,1B,21,58,13,21,1,0,3,14,11,20,5,2,0.362,0.457,0.534,0,1,0,31,4,1,1,0,0,70,Waubonsee,2
30,Ashlynn,Avenarius,Freshman,3B,18,43,5,7,0,0,0,4,5,16,2,0,0.163,0.245,0.163,0,1,0,7,0,0,0,1,0,49,Waubonsee,2
4,Ariana,Ikis,Freshman,OF,51,117,37,37,4,1,1,14,2,21,22,1,0.316,0.344,0.393,4,2,3,46,6,0,2,1,2,128,Waubonsee,2
44,Chelsea,Born,Freshman,2B/OF,42,135,17,30,3,0,0,26,9,15,3,0,0.222,0.286,0.244,3,0,0,33,3,0,0,2,0,147,Waubonsee,2
5,Emily,Hurst,Freshman,SS,51,175,84,95,26,5,22,76,22,8,21,1,0.543,0.59,1.126,1,2,1,197,53,0,0,3,0,201,Waubonsee,2
6,Dyani,Rivera,Freshman,C/2B/OF,39,102,26,33,9,0,0,20,10,9,9,1,0.324,0.39,0.412,3,3,1,42,9,0,1,2,0.5,119,Waubonsee,2
8,Kayla,Tranter,Sophomore,1B/OF,46,152,27,49,16,1,4,35,8,21,2,0,0.322,0.364,0.52,2,0,0,79,21,1,1,3,0.33,162,Waubonsee,2
0,Carissa,Knight,Sophomore,P/IF,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Allen County,2
1,Lacey,Stamper,Sophomore,OF/MI,39,102,23,26,3,0,1,16,22,21,7,0,0.255,0.384,0.314,0,1,3,32,4,0,15,17,0.88,128,Allen County,2
10,Robin,Todd,Sophomore,C/IF,40,131,23,43,15,1,3,32,2,20,2,1,0.328,0.35,0.527,3,1,4,69,19,4,34,23,1.48,141,Allen County,2
11,Haley,Gedrose,Sophomore,IF,39,98,21,25,1,0,1,11,6,15,5,1,0.255,0.306,0.296,2,2,3,29,2,3,19,22,0.86,111,Allen County,2
13,Kaitlyn,Miller,Freshman,OF,13,27,3,5,1,0,0,6,6,7,0,0,0.185,0.324,0.222,0,1,0,6,1,0,7,7,1,34,Allen County,2
15,Brooklyn,Ellis,Freshman,P/IF,19,5,0,1,0,0,0,0,2,2,0,0,0.2,0.429,0.2,0,0,0,1,0,0,1,1,1,7,Allen County,2
17,Skyler,Jackson,Sophomore,P/IF,21,29,4,10,1,0,1,5,9,7,0,0,0.345,0.5,0.483,0,0,0,14,2,0,2,7,0.29,38,Allen County,2
18,Maddison,Soman,Freshman,UT,22,8,5,1,0,0,0,0,1,4,4,2,0.125,0.222,0.125,0,0,1,1,0,0,2,2,1,10,Allen County,2
19,Lizzy,Hipp,Sophomore,IF,21,35,7,6,0,0,1,3,9,14,1,0,0.171,0.383,0.257,3,0,0,9,1,0,4,8,0.5,47,Allen County,2
20,Bailey,Cravens,Freshman,OF,41,126,26,41,4,0,0,15,12,27,24,0,0.325,0.384,0.357,0,0,14,45,4,0,23,4,5.75,152,Allen County,2
21,Brooklyn,Goehring,Freshman,IF,41,146,37,64,9,6,0,28,10,10,17,3,0.438,0.478,0.582,1,0,3,85,15,0,36,15,2.4,160,Allen County,2
22,Calyn,Michaelis,Freshman,IF,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Allen County,2
24,Kailey,Schinstock,Freshman,IF,14,23,3,4,0,0,1,3,2,7,2,1,0.174,0.296,0.304,2,0,0,7,1,0,4,5,0.8,27,Allen County,2
26,Madisyn,Havenstein,Freshman,IF,32,88,19,28,6,1,5,19,5,19,5,1,0.318,0.39,0.58,6,1,0,51,12,4,4,22,0.18,100,Allen County,2
28,Ellie,Hacker,Sophomore,IF,21,51,9,14,4,0,1,11,1,9,0,0,0.275,0.333,0.412,4,1,1,21,5,3,11,7,1.57,58,Allen County,2
30,Ashley,Tribble,Freshman,C/IF,34,94,15,33,9,0,2,24,10,17,1,1,0.351,0.421,0.511,2,1,1,48,11,0,16,17,0.94,108,Allen County,2
31,Hayley,Gerberding,Freshman,OF,2,6,2,3,0,0,1,4,1,0,0,0,0.5,0.571,1,0,0,0,6,1,0,0,2,0,7,Allen County,2
4,Kylar,Smith,Freshman,OF/MI,22,30,11,6,0,0,0,4,7,9,5,1,0.2,0.351,0.2,0,0,1,6,0,0,4,6,0.67,38,Allen County,2
5,Morgan,Baska,Sophomore,C/IF,12,9,2,1,0,0,1,3,1,3,1,0,0.111,0.273,0.444,1,0,0,4,1,0,0,2,0,11,Allen County,2
6,Jaydee,Pulliam,Sophomore,MI/OF,20,40,8,10,1,1,0,2,1,10,3,0,0.25,0.268,0.325,0,0,2,13,2,5,9,5,1.8,43,Allen County,2
7,Morgan,Collins,Freshman,IF/P,22,42,5,9,3,0,0,5,1,9,1,1,0.214,0.233,0.286,0,0,0,12,3,0,6,6,1,43,Allen County,2
9,MaKayla,McGinnis,Sophomore,P/IF,16,14,2,1,0,0,0,1,4,8,0,0,0.071,0.278,0.071,0,0,0,1,0,0,2,3,0.67,18,Allen County,2
1,Mia,Kelly,Sophomore,OF/2B,25,59,20,17,1,3,0,11,7,12,1,1,0.288,0.368,0.407,1,1,2,24,4,1,14,12,1.17,70,Cloud County,2
10,Zoie,Kincade,Sophomore,3B/C,45,133,24,29,9,1,3,26,17,38,0,0,0.218,0.314,0.368,2,1,0,49,13,0,25,37,0.68,153,Cloud County,2
11,Madyson,Buescher,Freshman,OF/MIF,6,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Cloud County,2
12,Ryleigh,Jones,Sophomore,SS/OF,46,160,62,63,14,1,14,39,20,28,43,1,0.394,0.459,0.756,0,1,1,121,29,1,20,39,0.51,182,Cloud County,2
14,McKenna,Mayhew,Sophomore,OF/1B,42,128,35,58,15,3,1,28,22,15,0,0,0.453,0.529,0.641,1,2,0,82,19,2,21,27,0.78,153,Cloud County,2
15,Taryn,McKinney,Freshman,OF/P,18,20,3,3,0,0,0,3,2,5,0,0,0.15,0.292,0.15,2,0,0,3,0,0,6,5,1.2,24,Cloud County,2
17,Kiera,Brack,Freshman,P/1B,23,9,0,3,0,1,0,2,1,4,0,0,0.333,0.4,0.556,0,0,0,5,1,0,1,1,1,10,Cloud County,2
2,Kaitlynn,Baca,Freshman,OF/2B,41,129,28,32,1,0,0,24,13,33,3,0,0.248,0.317,0.256,1,2,4,33,1,1,37,24,1.54,149,Cloud County,2
20,Lynsey,Stewart,Freshman,P/1B,12,4,0,0,0,0,0,0,1,4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,5,Cloud County,2
3,Emily,Kvasnicka,Sophomore,UTIL/OF,45,142,28,46,14,0,4,25,12,13,0,0,0.324,0.395,0.507,6,2,0,72,18,3,13,64,0.2,162,Cloud County,2
4,Alexis,Billings,Sophomore,OF/2B,46,82,16,25,3,0,1,16,4,16,2,0,0.305,0.333,0.378,1,3,1,31,4,0,6,28,0.21,91,Cloud County,2
5,Taylor,Dekok,Sophomore,P/1B,28,20,1,3,0,0,1,5,5,9,0,0,0.15,0.308,0.3,0,1,0,6,1,0,3,6,0.5,26,Cloud County,2
6,Hannah,Hotalen,Freshman,OF/3B,42,120,21,40,2,1,0,19,10,9,2,0,0.333,0.406,0.367,6,2,0,44,3,2,30,33,0.91,138,Cloud County,2
7,Brooklynn,McCormick,Freshman,MIF,44,128,20,37,5,0,0,18,17,40,1,0,0.289,0.37,0.328,0,1,0,42,5,1,26,18,1.44,146,Cloud County,2
8,Jayden,Rehlander,Freshman,OF/SS/:P,46,146,25,58,8,0,2,37,4,12,10,0,0.397,0.419,0.493,3,2,0,72,10,0,21,50,0.42,155,Cloud County,2
1,Summer,McAlister,Freshman,UTL,33,80,10,22,6,0,2,10,7,26,0,1,0.275,0.341,0.425,1,0,0,34,8,0,0,0,0,88,Coffeyville,2
10,Joslyn,Airington,Sophomore,P/1B,42,99,12,13,3,0,1,6,17,46,1,0,0.131,0.304,0.192,8,1,3,19,4,0,1,8,0.13,128,Coffeyville,2
11,Grace,Batdorf,Freshman,UTL,39,118,25,59,16,2,7,24,9,16,4,3,0.5,0.546,0.847,3,0,0,100,25,0,0,1,0,130,Coffeyville,2
16,Payton,Hayes,Sophomore,C,40,100,10,33,6,0,1,7,17,25,2,2,0.33,0.432,0.42,1,0,0,42,7,0,0,0,0,118,Coffeyville,2
19,Alex,Ginnis,Freshman,INF,42,125,23,49,11,0,11,34,12,15,8,2,0.392,0.439,0.744,0,2,0,93,22,0,0,2,0,139,Coffeyville,2
2,Makayla,Yates,Freshman,OF,19,42,3,5,0,0,0,1,2,20,2,2,0.119,0.159,0.119,0,0,0,5,0,0,0,0,0,44,Coffeyville,2
20,Justina,Raye,Freshman,P/UTL,39,100,14,25,3,0,3,12,11,26,7,1,0.25,0.33,0.37,1,0,0,37,6,0,0,4,0,112,Coffeyville,2
21,Jadyn,Clark,Sophomore,1B,34,77,8,17,2,0,1,10,4,23,0,1,0.221,0.259,0.286,0,0,0,22,3,0,0,0,0,81,Coffeyville,2
3,Ciara,Moore,Sophomore,INF/C,42,115,16,23,5,0,2,9,12,28,3,0,0.2,0.285,0.296,2,1,0,34,7,0,0,6,0,130,Coffeyville,2
4,Jade,Jimboy,Freshman,P/OF,31,31,3,4,0,0,0,2,1,10,0,0,0.129,0.156,0.129,0,0,0,4,0,0,1,0,0,32,Coffeyville,2
6,Morgan,McDaniel,Freshman,P/OF,25,18,4,5,1,0,0,1,2,7,0,0,0.278,0.35,0.333,0,0,0,6,1,0,1,4,0.25,20,Coffeyville,2
7,Lainey,Hardman,Freshman,OF/P,42,105,12,16,3,1,2,16,3,22,3,0,0.152,0.171,0.257,0,3,0,27,6,0,2,3,0.67,111,Coffeyville,2
1,Laramie,Neff,Sophomore,INF,52,128,37,37,8,0,2,27,24,24,10,1,0.289,0.403,0.398,1,1,9,51,10,0,1,2,0.5,163,Cowley,2
10,Cherokee,Hibbs,Freshman,INF/C,25,58,17,20,2,0,1,11,6,11,5,0,0.345,0.406,0.431,0,0,3,25,3,0,3,0,0,67,Cowley,2
14,Andrea,Kaffure,Freshman,OF,23,17,8,3,0,0,0,3,4,9,2,1,0.176,0.333,0.176,0,0,0,3,0,0,0,1,0,21,Cowley,2
16,Emily,Louderback,Freshman,C,51,133,31,46,10,1,2,27,18,22,2,0,0.346,0.431,0.481,2,0,1,64,13,0,3,4,0.75,154,Cowley,2
18,Aaliyah,Ahmed,Sophomore,C,49,118,19,36,6,1,1,20,18,5,1,0,0.305,0.394,0.398,0,1,5,47,8,0,2,3,0.67,142,Cowley,2
19,Kyla,Bonnarens,Sophomore,INF,55,175,60,86,24,0,18,82,21,4,4,0,0.491,0.529,0.937,1,7,0,164,42,0,1,5,0.2,204,Cowley,2
2,Ellie,Kuntz,Sophomore,P,17,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cowley,2
21,Sydney,Price,Sophomore,P/INF,34,58,14,18,4,0,3,14,5,12,0,0,0.31,0.388,0.534,3,1,3,31,7,0,1,0,0,70,Cowley,2
22,McKinzi,Sowles,Freshman,OF,50,145,41,52,12,2,4,45,17,13,11,0,0.359,0.429,0.552,1,0,5,80,18,0,3,2,1.5,168,Cowley,2
24,Karleigh,Bell,Freshman,INF,52,113,28,32,4,0,1,26,11,15,1,1,0.283,0.386,0.345,8,0,6,39,5,0,0,1,0,138,Cowley,2
3,Maci,Cole,Sophomore,INF/C,55,195,75,83,14,3,24,69,16,23,9,1,0.426,0.477,0.897,3,0,0,175,41,0,1,5,0.2,214,Cowley,2
4,Tye,North,Sophomore,OF,43,115,28,39,7,1,3,24,17,16,1,1,0.339,0.415,0.496,0,3,4,57,11,0,3,4,0.75,139,Cowley,2
5,Kaitlynn,Anderson,Freshman,INF,28,46,21,9,1,0,0,6,15,14,5,0,0.196,0.393,0.217,0,0,1,10,1,0,1,1,1,62,Cowley,2
6,Shayne,Roberts,Freshman,OF,53,129,45,45,8,1,6,47,14,19,8,0,0.349,0.415,0.566,2,2,15,73,15,0,0,1,0,162,Cowley,2
8,Mya,Chapman,Sophomore,INF,15,19,3,3,0,0,1,6,4,9,0,0,0.158,0.32,0.316,1,1,0,6,1,0,1,0,0,25,Cowley,2
10,Olivia,Morris,Sophomore,OF,47,114,23,37,5,0,0,16,12,14,14,3,0.325,0.395,0.368,2,1,6,42,5,0,0,0,0,135,Fort Scott,2
11,Halle,Hance,Freshman,OF,48,140,39,42,3,4,1,10,18,27,17,1,0.3,0.391,0.4,3,0,1,56,8,0,0,0,0,162,Fort Scott,2
12,Ivory,Rightnar,Sophomore,IF,47,83,16,20,5,0,0,17,23,27,10,2,0.241,0.402,0.301,0,1,3,25,5,0,0,0,0,110,Fort Scott,2
13,Julia,Hess,Sophomore,,48,141,31,48,10,1,4,35,10,11,13,2,0.34,0.389,0.511,3,3,4,72,15,0,0,0,0,161,Fort Scott,2
14,Paiten,Reavis,Freshman,INF,48,154,44,52,9,3,2,24,10,11,44,2,0.338,0.391,0.474,4,1,8,73,14,0,0,0,0,177,Fort Scott,2
18,Maddy,Cole,Freshman,,29,11,2,1,0,0,0,1,0,1,1,0,0.091,0.091,0.091,0,0,0,1,0,0,0,0,0,11,Fort Scott,2
2,Grace,Pingel,Freshman,OF,34,24,3,2,0,0,0,1,3,7,2,3,0.083,0.185,0.083,0,0,6,2,0,0,0,0,0,33,Fort Scott,2
20,Saedra,Allen,Sophomore,P,33,55,7,15,2,0,1,15,5,14,3,1,0.273,0.42,0.364,9,0,1,20,3,0,0,0,0,70,Fort Scott,2
23,Kennedi,Christian,Sophomore,C,41,99,13,24,4,0,1,19,15,13,10,1,0.242,0.342,0.313,0,0,1,31,5,0,0,0,0,115,Fort Scott,2
24,Jenni,Jennings,Sophomore,P,33,28,1,8,2,0,0,2,1,4,2,1,0.286,0.31,0.357,0,0,1,10,2,0,0,0,0,30,Fort Scott,2
3,Julia,Paisley,Freshman,IF,48,131,36,42,13,0,1,25,18,19,12,0,0.321,0.429,0.443,9,3,6,58,14,0,0,0,0,167,Fort Scott,2
4,Kaitlynn,Hodges,Sophomore,,23,30,5,9,0,0,0,3,4,13,2,4,0.3,0.382,0.3,0,0,0,9,0,0,0,0,0,34,Fort Scott,2
5,Katie,Thompson,Freshman,,37,94,18,25,13,0,1,19,9,22,7,4,0.266,0.337,0.436,1,0,0,41,14,0,0,0,0,104,Fort Scott,2
7,Jenna,Richardson,Freshman,,7,7,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Fort Scott,2
8,Ally,Bartley,Sophomore,C,39,104,12,28,4,0,0,18,11,6,1,3,0.269,0.339,0.308,0,0,3,32,4,0,0,0,0,118,Fort Scott,2
9,Brittany,Winchester,Sophomore,P/1B,25,13,3,1,0,1,0,4,1,4,2,0,0.077,0.143,0.231,0,0,0,3,1,0,0,0,0,14,Fort Scott,2
0,Izy,Cain,Sophomore,NA,37,123,21,36,4,3,2,27,4,12,14,3,0.293,0.341,0.423,5,0,0,52,9,0,2,5,0.4,132,Hesston,2
10,Heaven,Trapp,Freshman,NA,16,9,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,9,Hesston,2
11,Reese,Peterson,Sophomore,NA,37,112,23,34,8,0,4,25,20,13,5,0,0.304,0.41,0.482,1,1,0,54,12,0,2,5,0.4,134,Hesston,2
12,Hannah,Williams,Sophomore,NA,29,28,3,5,1,0,0,1,2,5,1,0,0.179,0.233,0.214,0,0,0,6,1,0,0,1,0,30,Hesston,2
15,Kaylee,Manning,Sophomore,NA,24,58,9,18,3,0,2,7,2,5,1,0,0.31,0.344,0.466,1,0,0,27,5,0,1,1,1,61,Hesston,2
18,Madison,Gonzales,Freshman,NA,37,97,10,27,1,0,1,15,16,11,1,0,0.278,0.377,0.32,0,1,1,31,2,2,6,2,3,115,Hesston,2
2,Madison,Michalek-Rosales,Sophomore,NA,29,92,21,26,5,0,0,12,9,8,6,0,0.283,0.362,0.337,3,1,0,31,5,1,0,2,0,105,Hesston,2
23,Maria,Gerber,Sophomore,NA,25,66,8,18,4,0,1,7,6,16,0,0,0.273,0.36,0.379,3,0,0,25,5,0,0,1,0,75,Hesston,2
3,Sammy,Fatka,Sophomore,NA,37,123,21,29,6,1,1,8,10,27,17,3,0.236,0.293,0.325,0,0,1,40,8,0,4,5,0.8,134,Hesston,2
4,Lauren,Payne,Freshman,NA,36,77,11,14,2,0,0,9,15,16,14,4,0.182,0.364,0.208,7,0,1,16,2,0,2,1,2,100,Hesston,2
5,Suzy,Karako,Sophomore,NA,29,57,8,12,3,1,1,7,7,19,4,0,0.211,0.328,0.351,3,0,1,20,5,0,1,3,0.33,68,Hesston,2
6,Skye,McPhee,Sophomore,NA,34,92,18,21,3,1,0,12,6,24,14,0,0.228,0.283,0.283,1,0,0,26,4,0,6,3,2,99,Hesston,2
7,Emma,Killingsworth,Freshman,NA,30,69,2,13,2,0,0,10,7,22,1,1,0.188,0.256,0.217,0,2,0,15,2,0,0,1,0,78,Hesston,2
1,SINAI,CISNEROS,Sophomore,C,26,26,6,1,1,0,0,1,3,18,3,0,0.038,0.194,0.077,2,0,1,2,1,0,1,2,0.5,32,Highland (KS),2
10,EMMA,KREISEL,Freshman,RHP,41,46,8,9,2,0,1,6,2,17,0,0,0.196,0.245,0.304,1,0,2,14,3,0,1,1,1,51,Highland (KS),2
11,CELESTE,SMITH,Sophomore,IF,47,136,40,48,11,0,9,50,25,34,12,0,0.353,0.464,0.632,5,2,2,86,20,0,0,5,0,170,Highland (KS),2
12,KENDYL,SCHMITZ,Freshman,RHP,16,9,1,3,0,0,0,0,1,4,1,0,0.333,0.4,0.333,0,0,0,3,0,0,0,0,0,10,Highland (KS),2
